Test Name, UCT003-Float Charge-C02-S00
Test Date, 2025/02/13 10:08:52 AM
Operator ID, Uyilo
, 
Program Name, UCT003 Float charge LCV 5
Program Description, 
Program Database, C:\VisuaLCN\Programs\Standard tests.mdb
, 
Module Type, lD
Module Description, LCV 5-50-12
Address, Port: 1, Sys Controller: 3  Circuit: 5
Name, Channel 5
Device ID, Unknown
, 
Notes,   5.21b, MDB 9.542025/02/13 10:08:47 AM - Started by Masa
Editable Notes, 

Total Time,Cycle,Loop Counter #1,Loop Counter #2,Loop Counter #3,Step,Step time,Current,Voltage,Power,Amp-Hours,Watt-Hours,Unassigned A1,Unassigned A2,Unassigned A3,Unassigned A4,Unassigned A5,Unassigned A6,Unassigned A7,Unassigned A8,Mode,Data Acquisition Flag,
30.0,1,1,1,1,1,30.0,0,13.324,0,0,0,0,0,0,0,0,0,0,0,REST, ,
60.0,1,1,1,1,1,60.0,0,13.323,0,0,0,0,0,0,0,0,0,0,0,REST, ,
90.0,1,1,1,1,1,90.0,0,13.324,0,0,0,0,0,0,0,0,0,0,0,REST, ,
120.0,1,1,1,1,1,120.0,0,13.323,0,0,0,0,0,0,0,0,0,0,0,REST, ,
150.0,1,1,1,1,1,150.0,0,13.322,0,0,0,0,0,0,0,0,0,0,0,REST, ,
180.0,1,1,1,1,1,180.0,0,13.322,0,0,0,0,0,0,0,0,0,0,0,REST, ,
210.0,1,1,1,1,1,210.0,0,13.321,0,0,0,0,0,0,0,0,0,0,0,REST, ,
240.0,1,1,1,1,1,240.0,0,13.321,0,0,0,0,0,0,0,0,0,0,0,REST, ,
270.0,1,1,1,1,1,270.0,0,13.32,0,0,0,0,0,0,0,0,0,0,0,REST, ,
300.0,1,1,1,1,1,300.0,0,13.32,0,0,0,0,0,0,0,0,0,0,0,REST,S,
360.0,1,1,1,1,2,360.0,0.3,13.7,4.1,0,0.09,0,0,0,0,0,0,0,0,CHRG, ,
420.0,1,1,1,1,2,420.0,0.21,13.7,2.9,0.01,0.15,0,0,0,0,0,0,0,0,CHRG, ,
480.0,1,1,1,1,2,480.0,0.18,13.699,2.5,0.01,0.19,0,0,0,0,0,0,0,0,CHRG, ,
540.0,1,1,1,1,2,540.0,0.18,13.699,2.4,0.01,0.23,0,0,0,0,0,0,0,0,CHRG, ,
600.0,1,1,1,1,2,600.0,0.17,13.7,2.3,0.02,0.27,0,0,0,0,0,0,0,0,CHRG, ,
660.0,1,1,1,1,2,660.0,0.17,13.7,2.3,0.02,0.31,0,0,0,0,0,0,0,0,CHRG, ,
720.0,1,1,1,1,2,720.0,0.17,13.7,2.3,0.02,0.35,0,0,0,0,0,0,0,0,CHRG, ,
