Test Name, UCT003-Float Charge-C06-S00
Test Date, 2025/02/13 08:17:40 AM
Operator ID, Uyilo
, 
Program Name, UCT003 Float charge
Program Description, 
Program Database, C:\VisuaLCN\Programs\Standard tests.mdb
, 
Module Type, fj
Module Description, LCV 16-100-12
Address, Port: 1, Sys Controller: 1  Circuit: 10
Name, Channel 10
Device ID, Unknown
, 
Notes,   5.21b, MDB 9.542025/02/13 08:17:34 AM - Started by Masa 
Editable Notes, 

Total Time,Cycle,Loop Counter #1,Loop Counter #2,Loop Counter #3,Step,Step time,Current,Voltage,Power,Amp-Hours,Watt-Hours,Unassigned A1,Unassigned A2,Mode,Data Acquisition Flag,
30.0,1,1,1,1,1,30.0,0,13.19,0,0,0,0,0,REST, ,
60.0,1,1,1,1,1,60.0,0,13.19,0,0,0,0,0,REST, ,
90.0,1,1,1,1,1,90.0,0,13.189,0,0,0,0,0,REST, ,
120.0,1,1,1,1,1,120.0,0,13.189,0,0,0,0,0,REST, ,
150.0,1,1,1,1,1,150.0,0,13.189,0,0,0,0,0,REST, ,
180.0,1,1,1,1,1,180.0,0,13.188,0,0,0,0,0,REST, ,
210.0,1,1,1,1,1,210.0,0,13.188,0,0,0,0,0,REST, ,
240.0,1,1,1,1,1,240.0,0,13.187,0,0,0,0,0,REST, ,
270.0,1,1,1,1,1,270.0,0,13.187,0,0,0,0,0,REST, ,
300.0,1,1,1,1,1,300.0,0,13.187,0,0,0,0,0,REST,S,
360.0,1,1,1,1,2,360.0,0.34,13.7,4.6,0,0.09,0,0,CHRG, ,
420.0,1,1,1,1,2,420.0,0.25,13.7,3.4,0.01,0.16,0,0,CHRG, ,
480.0,1,1,1,1,2,480.0,0.23,13.7,3.1,0.01,0.21,0,0,CHRG, ,
540.0,1,1,1,1,2,540.0,0.21,13.7,2.9,0.01,0.26,0,0,CHRG, ,
600.0,1,1,1,1,2,600.0,0.21,13.7,2.8,0.02,0.31,0,0,CHRG, ,
660.0,1,1,1,1,2,660.0,0.21,13.7,2.8,0.02,0.36,0,0,CHRG, ,
720.0,1,1,1,1,2,720.0,0.2,13.7,2.7,0.03,0.4,0,0,CHRG, ,
780.0,1,1,1,1,2,780.0,0.21,13.7,2.8,0.03,0.45,0,0,CHRG, ,
840.0,1,1,1,1,2,840.0,0.21,13.701,2.8,0.03,0.5,0,0,CHRG, ,
900.0,1,1,1,1,2,900.0,0.21,13.7,2.8,0.04,0.54,0,0,CHRG, ,
960.0,1,1,1,1,2,960.0,0.21,13.699,2.8,0.04,0.59,0,0,CHRG, ,
1020.0,1,1,1,1,2,1020.0,0.21,13.7,2.8,0.04,0.63,0,0,CHRG, ,
1080.0,1,1,1,1,2,1080.0,0.2,13.7,2.7,0.05,0.68,0,0,CHRG, ,
1140.0,1,1,1,1,2,1140.0,0.21,13.701,2.8,0.05,0.73,0,0,CHRG, ,
1200.0,1,1,1,1,2,1200.0,0.21,13.7,2.8,0.05,0.77,0,0,CHRG, ,
1260.0,1,1,1,1,2,1260.0,0.21,13.7,2.8,0.06,0.82,0,0,CHRG, ,
1320.0,1,1,1,1,2,1320.0,0.2,13.7,2.7,0.06,0.87,0,0,CHRG, ,
1380.0,1,1,1,1,2,1380.0,0.2,13.7,2.7,0.06,0.91,0,0,CHRG, ,
1440.0,1,1,1,1,2,1440.0,0.2,13.7,2.7,0.07,0.96,0,0,CHRG, ,
1500.0,1,1,1,1,2,1500.0,0.21,13.7,2.8,0.07,1,0,0,CHRG, ,
1560.0,1,1,1,1,2,1560.0,0.2,13.7,2.7,0.07,1.05,0,0,CHRG, ,
1620.0,1,1,1,1,2,1620.0,0.2,13.7,2.7,0.08,1.09,0,0,CHRG, ,
1680.0,1,1,1,1,2,1680.0,0.2,13.7,2.7,0.08,1.14,0,0,CHRG, ,
1740.0,1,1,1,1,2,1740.0,0.2,13.7,2.7,0.08,1.18,0,0,CHRG, ,
1800.0,1,1,1,1,2,1800.0,0.2,13.701,2.7,0.09,1.23,0,0,CHRG, ,
1860.0,1,1,1,1,2,1860.0,0.2,13.701,2.7,0.09,1.27,0,0,CHRG, ,
1920.0,1,1,1,1,2,1920.0,0.2,13.7,2.7,0.09,1.32,0,0,CHRG, ,
1980.0,1,1,1,1,2,1980.0,0.2,13.7,2.7,0.1,1.36,0,0,CHRG, ,
2040.0,1,1,1,1,2,2040.0,0.2,13.7,2.7,0.1,1.41,0,0,CHRG, ,
2100.0,1,1,1,1,2,2100.0,0.19,13.7,2.6,0.1,1.45,0,0,CHRG, ,
2160.0,1,1,1,1,2,2160.0,0.2,13.7,2.7,0.11,1.5,0,0,CHRG, ,
2220.0,1,1,1,1,2,2220.0,0.19,13.699,2.6,0.11,1.54,0,0,CHRG, ,
2280.0,1,1,1,1,2,2280.0,0.19,13.7,2.6,0.11,1.58,0,0,CHRG, ,
2340.0,1,1,1,1,2,2340.0,0.19,13.7,2.6,0.12,1.63,0,0,CHRG, ,
2400.0,1,1,1,1,2,2400.0,0.19,13.7,2.6,0.12,1.67,0,0,CHRG, ,
