Test Name, UCT003-POC 2
Test Date, 2024/12/17 08:30:24 AM
Operator ID, Uyilo
, 
Program Name, UCT003 5h-2.00A-14.4V Full Discharge Test
Program Description, 
Program Database, C:\VisuaLCN\Programs\Standard tests.mdb
, 
Module Type, fj
Module Description, LCV 16-100-12
Address, Port: 1, Sys Controller: 1  Circuit: 11
Name, Channel 11
Device ID, Unknown
, 
Notes,   5.21b, MDB 9.54
Editable Notes, 

Total Time,Cycle,Loop Counter #1,Loop Counter #2,Loop Counter #3,Step,Step time,Current,Voltage,Power,Amp-Hours,Watt-Hours,Unassigned A1,Unassigned A2,Mode,Data Acquisition Flag,
5.3,1,1,1,1,1,5.3,-1.57,11.105,-17.4,0,-0.02,0,0,DCHG,H,
35.3,1,1,1,1,2,30.0,0,11.318,0,0,0,0,0,REST, ,
65.3,1,1,1,1,2,60.0,0,11.32,0,0,0,0,0,REST, ,
95.3,1,1,1,1,2,90.0,0,11.321,0,0,0,0,0,REST, ,
125.3,1,1,1,1,2,120.0,0,11.322,0,0,0,0,0,REST, ,
155.3,1,1,1,1,2,150.0,0,11.322,0,0,0,0,0,REST, ,
185.3,1,1,1,1,2,180.0,0,11.322,0,0,0,0,0,REST, ,
215.3,1,1,1,1,2,210.0,-0.01,11.323,0,0,0,0,0,REST, ,
245.3,1,1,1,1,2,240.0,0,11.323,0,0,0,0,0,REST, ,
275.3,1,1,1,1,2,270.0,0,11.323,0,0,0,0,0,REST, ,
305.3,1,1,1,1,2,300.0,0,11.323,0,0,0,0,0,REST, ,
335.3,1,1,1,1,2,330.0,0,11.323,0,0,0,0,0,REST, ,
365.3,1,1,1,1,2,360.0,0,11.323,0,0,0,0,0,REST, ,
395.3,1,1,1,1,2,390.0,0,11.323,0,0,0,0,0,REST, ,
425.3,1,1,1,1,2,420.0,0,11.324,0,0,0,0,0,REST, ,
455.3,1,1,1,1,2,450.0,0,11.324,0,0,0,0,0,REST, ,
485.3,1,1,1,1,2,480.0,0,11.324,0,0,0,0,0,REST, ,
515.3,1,1,1,1,2,510.0,0,11.325,0,0,0,0,0,REST, ,
545.3,1,1,1,1,2,540.0,0,11.324,0,0,0,0,0,REST, ,
575.3,1,1,1,1,2,570.0,0,11.324,0,0,0,0,0,REST, ,
605.3,1,1,1,1,2,600.0,0,11.324,0,0,0,0,0,REST,S,
665.3,1,1,1,1,3,60.0,2,11.777,23.5,0.03,0.38,0,0,CHRG, ,
725.3,1,1,1,1,3,120.0,2,11.845,23.6,0.06,0.78,0,0,CHRG, ,
785.3,1,1,1,1,3,180.0,2,11.882,23.7,0.09,1.17,0,0,CHRG, ,
845.3,1,1,1,1,3,240.0,2,11.909,23.7,0.13,1.56,0,0,CHRG, ,
905.3,1,1,1,1,3,300.0,1.99,11.933,23.7,0.16,1.96,0,0,CHRG, ,
965.3,1,1,1,1,3,360.0,2,11.953,23.8,0.19,2.36,0,0,CHRG, ,
1025.3,1,1,1,1,3,420.0,1.99,11.971,23.8,0.23,2.75,0,0,CHRG, ,
1085.3,1,1,1,1,3,480.0,1.99,11.989,23.8,0.26,3.15,0,0,CHRG, ,
1145.3,1,1,1,1,3,540.0,2,12.007,24,0.29,3.55,0,0,CHRG, ,
1205.3,1,1,1,1,3,600.0,1.99,12.024,23.9,0.33,3.95,0,0,CHRG, ,
1265.3,1,1,1,1,3,660.0,2,12.041,24,0.36,4.35,0,0,CHRG, ,
1325.3,1,1,1,1,3,720.0,2,12.058,24.1,0.39,4.75,0,0,CHRG, ,
1385.3,1,1,1,1,3,780.0,2,12.076,24.1,0.43,5.15,0,0,CHRG, ,
1445.3,1,1,1,1,3,840.0,1.99,12.092,24,0.46,5.55,0,0,CHRG, ,
1505.3,1,1,1,1,3,900.0,1.99,12.108,24.1,0.49,5.95,0,0,CHRG, ,
1565.3,1,1,1,1,3,960.0,1.99,12.126,24.1,0.53,6.36,0,0,CHRG, ,
1625.3,1,1,1,1,3,1020.0,2,12.141,24.2,0.56,6.76,0,0,CHRG, ,
1685.3,1,1,1,1,3,1080.0,1.99,12.158,24.2,0.59,7.16,0,0,CHRG, ,
1745.3,1,1,1,1,3,1140.0,2,12.174,24.3,0.63,7.57,0,0,CHRG, ,
1805.3,1,1,1,1,3,1200.0,1.99,12.19,24.3,0.66,7.97,0,0,CHRG, ,
1865.3,1,1,1,1,3,1260.0,2,12.206,24.4,0.69,8.37,0,0,CHRG, ,
1925.3,1,1,1,1,3,1320.0,2,12.222,24.4,0.73,8.78,0,0,CHRG, ,
1985.3,1,1,1,1,3,1380.0,1.99,12.238,24.3,0.76,9.19,0,0,CHRG, ,
2045.3,1,1,1,1,3,1440.0,2,12.254,24.4,0.79,9.59,0,0,CHRG, ,
2105.3,1,1,1,1,3,1500.0,1.99,12.269,24.4,0.83,10,0,0,CHRG, ,
2165.3,1,1,1,1,3,1560.0,2,12.285,24.5,0.86,10.41,0,0,CHRG, ,
2225.3,1,1,1,1,3,1620.0,2,12.3,24.5,0.89,10.82,0,0,CHRG, ,
2285.3,1,1,1,1,3,1680.0,2,12.315,24.6,0.93,11.22,0,0,CHRG, ,
2345.3,1,1,1,1,3,1740.0,2,12.329,24.6,0.96,11.63,0,0,CHRG, ,
2405.3,1,1,1,1,3,1800.0,2,12.344,24.6,0.99,12.04,0,0,CHRG, ,
2465.3,1,1,1,1,3,1860.0,2,12.358,24.6,1.03,12.45,0,0,CHRG, ,
2525.3,1,1,1,1,3,1920.0,2,12.373,24.7,1.06,12.86,0,0,CHRG, ,
2585.3,1,1,1,1,3,1980.0,1.99,12.387,24.6,1.09,13.28,0,0,CHRG, ,
2645.3,1,1,1,1,3,2040.0,2,12.401,24.7,1.13,13.69,0,0,CHRG, ,
2705.3,1,1,1,1,3,2100.0,2,12.416,24.8,1.16,14.1,0,0,CHRG, ,
2765.3,1,1,1,1,3,2160.0,2,12.429,24.8,1.19,14.51,0,0,CHRG, ,
2825.3,1,1,1,1,3,2220.0,2,12.443,24.8,1.23,14.93,0,0,CHRG, ,
2885.3,1,1,1,1,3,2280.0,1.99,12.456,24.8,1.26,15.34,0,0,CHRG, ,
2945.3,1,1,1,1,3,2340.0,1.99,12.469,24.8,1.29,15.75,0,0,CHRG, ,
3005.3,1,1,1,1,3,2400.0,1.99,12.482,24.8,1.33,16.17,0,0,CHRG, ,
3065.3,1,1,1,1,3,2460.0,1.99,12.495,24.8,1.36,16.58,0,0,CHRG, ,
3125.3,1,1,1,1,3,2520.0,1.99,12.508,24.9,1.39,17,0,0,CHRG, ,
3185.3,1,1,1,1,3,2580.0,1.99,12.521,24.9,1.43,17.41,0,0,CHRG, ,
3245.3,1,1,1,1,3,2640.0,1.99,12.532,24.9,1.46,17.83,0,0,CHRG, ,
3305.3,1,1,1,1,3,2700.0,2,12.545,25,1.49,18.24,0,0,CHRG, ,
3365.3,1,1,1,1,3,2760.0,2,12.558,25,1.53,18.66,0,0,CHRG, ,
