Test Name, UCT003-DOD-C06-S00-2
Test Date, 2025/02/13 11:14:13 AM
Operator ID, Uyilo
, 
Program Name, UCT003 5h-2.00A-14.4V Full Discharge Test
Program Description, 
Program Database, C:\VisuaLCN\Programs\Standard tests.mdb
, 
Module Type, fj
Module Description, LCV 16-100-12
Address, Port: 1, Sys Controller: 1  Circuit: 10
Name, Channel 10
Device ID, Unknown
, 
Notes,   5.21b, MDB 9.542025/02/13 11:14:07 AM - Started by Masa
Editable Notes, 

Total Time,Cycle,Loop Counter #1,Loop Counter #2,Loop Counter #3,Step,Step time,Current,Voltage,Power,Amp-Hours,Watt-Hours,Unassigned A1,Unassigned A2,Mode,Data Acquisition Flag,
30.0,1,1,1,1,1,30.0,-1.57,12.35,-19.3,-0.01,-0.16,0,0,DCHG, ,
60.0,1,1,1,1,1,60.0,-1.57,12.337,-19.3,-0.02,-0.32,0,0,DCHG, ,
90.0,1,1,1,1,1,90.0,-1.57,12.33,-19.3,-0.03,-0.48,0,0,DCHG, ,
120.0,1,1,1,1,1,120.0,-1.57,12.325,-19.3,-0.05,-0.64,0,0,DCHG, ,
150.0,1,1,1,1,1,150.0,-1.57,12.321,-19.3,-0.06,-0.8,0,0,DCHG, ,
180.0,1,1,1,1,1,180.0,-1.57,12.318,-19.3,-0.07,-0.96,0,0,DCHG, ,
210.0,1,1,1,1,1,210.0,-1.57,12.315,-19.3,-0.09,-1.12,0,0,DCHG, ,
240.0,1,1,1,1,1,240.0,-1.57,12.311,-19.3,-0.1,-1.28,0,0,DCHG, ,
270.0,1,1,1,1,1,270.0,-1.57,12.308,-19.2,-0.11,-1.44,0,0,DCHG, ,
300.0,1,1,1,1,1,300.0,-1.57,12.305,-19.2,-0.13,-1.6,0,0,DCHG, ,
330.0,1,1,1,1,1,330.0,-1.57,12.302,-19.2,-0.14,-1.76,0,0,DCHG, ,
360.0,1,1,1,1,1,360.0,-1.57,12.298,-19.3,-0.15,-1.92,0,0,DCHG, ,
390.0,1,1,1,1,1,390.0,-1.57,12.295,-19.2,-0.16,-2.08,0,0,DCHG, ,
420.0,1,1,1,1,1,420.0,-1.57,12.292,-19.2,-0.18,-2.24,0,0,DCHG, ,
450.0,1,1,1,1,1,450.0,-1.56,12.289,-19.1,-0.19,-2.4,0,0,DCHG, ,
480.0,1,1,1,1,1,480.0,-1.57,12.286,-19.2,-0.2,-2.56,0,0,DCHG, ,
510.0,1,1,1,1,1,510.0,-1.57,12.282,-19.2,-0.22,-2.72,0,0,DCHG, ,
540.0,1,1,1,1,1,540.0,-1.57,12.279,-19.2,-0.23,-2.88,0,0,DCHG, ,
570.0,1,1,1,1,1,570.0,-1.57,12.276,-19.2,-0.24,-3.04,0,0,DCHG, ,
600.0,1,1,1,1,1,600.0,-1.57,12.273,-19.2,-0.26,-3.2,0,0,DCHG, ,
630.0,1,1,1,1,1,630.0,-1.57,12.27,-19.2,-0.27,-3.36,0,0,DCHG, ,
660.0,1,1,1,1,1,660.0,-1.57,12.267,-19.2,-0.28,-3.52,0,0,DCHG, ,
690.0,1,1,1,1,1,690.0,-1.57,12.264,-19.2,-0.3,-3.68,0,0,DCHG, ,
