Test Name, UCT003-DOD-C07-S00-2
Test Date, 2025/02/13 11:14:31 AM
Operator ID, Uyilo
, 
Program Name, UCT003 5h-2.00A-14.4V Full Discharge Test
Program Description, 
Program Database, C:\VisuaLCN\Programs\Standard tests.mdb
, 
Module Type, fj
Module Description, LCV 16-100-12
Address, Port: 1, Sys Controller: 1  Circuit: 16
Name, Channel 16
Device ID, Unknown
, 
Notes,   5.21b, MDB 9.542025/02/13 11:14:27 AM - Started by  Masa
Editable Notes, 

Total Time,Cycle,Loop Counter #1,Loop Counter #2,Loop Counter #3,Step,Step time,Current,Voltage,Power,Amp-Hours,Watt-Hours,Unassigned A1,Unassigned A2,Mode,Data Acquisition Flag,
30.0,1,1,1,1,1,30.0,-1.57,12.913,-20.2,-0.01,-0.16,0,0,DCHG, ,
60.0,1,1,1,1,1,60.0,-1.57,12.88,-20.1,-0.02,-0.33,0,0,DCHG, ,
90.0,1,1,1,1,1,90.0,-1.57,12.873,-20.2,-0.03,-0.5,0,0,DCHG, ,
120.0,1,1,1,1,1,120.0,-1.57,12.868,-20.1,-0.05,-0.67,0,0,DCHG, ,
150.0,1,1,1,1,1,150.0,-1.57,12.863,-20.1,-0.06,-0.83,0,0,DCHG, ,
180.0,1,1,1,1,1,180.0,-1.57,12.859,-20.1,-0.07,-1,0,0,DCHG, ,
210.0,1,1,1,1,1,210.0,-1.56,12.855,-20,-0.09,-1.17,0,0,DCHG, ,
240.0,1,1,1,1,1,240.0,-1.57,12.851,-20.1,-0.1,-1.34,0,0,DCHG, ,
270.0,1,1,1,1,1,270.0,-1.57,12.847,-20.1,-0.11,-1.5,0,0,DCHG, ,
300.0,1,1,1,1,1,300.0,-1.57,12.843,-20.1,-0.13,-1.67,0,0,DCHG, ,
330.0,1,1,1,1,1,330.0,-1.57,12.84,-20.1,-0.14,-1.84,0,0,DCHG, ,
360.0,1,1,1,1,1,360.0,-1.57,12.836,-20.1,-0.15,-2.01,0,0,DCHG, ,
390.0,1,1,1,1,1,390.0,-1.57,12.833,-20.1,-0.16,-2.17,0,0,DCHG, ,
420.0,1,1,1,1,1,420.0,-1.57,12.829,-20.1,-0.18,-2.34,0,0,DCHG, ,
450.0,1,1,1,1,1,450.0,-1.57,12.825,-20.1,-0.19,-2.51,0,0,DCHG, ,
