Test Name, UCT003-DOD-C07-S00
Test Date, 2025/02/12 04:34:11 PM
Operator ID, Uyilo
, 
Program Name, UCT003 5h-2.00A-14.4V Full Discharge Test
Program Description, 
Program Database, C:\VisuaLCN\Programs\Standard tests.mdb
, 
Module Type, fj
Module Description, LCV 16-100-12
Address, Port: 1, Sys Controller: 1  Circuit: 16
Name, Channel 16
Device ID, Unknown
, 
Notes,   5.21b, MDB 9.542025/02/12 04:34:06 PM - Started by Masa
Editable Notes, 

Total Time,Cycle,Loop Counter #1,Loop Counter #2,Loop Counter #3,Step,Step time,Current,Voltage,Power,Amp-Hours,Watt-Hours,Unassigned A1,Unassigned A2,Mode,Data Acquisition Flag,
30.0,1,1,1,1,1,30.0,-1.57,11.991,-18.8,-0.01,-0.15,0,0,DCHG, ,
60.0,1,1,1,1,1,60.0,-1.57,11.973,-18.7,-0.02,-0.31,0,0,DCHG, ,
90.0,1,1,1,1,1,90.0,-1.57,11.964,-18.7,-0.03,-0.46,0,0,DCHG, ,
120.0,1,1,1,1,1,120.0,-1.57,11.961,-18.7,-0.05,-0.62,0,0,DCHG, ,
150.0,1,1,1,1,1,150.0,-1.57,11.959,-18.7,-0.06,-0.77,0,0,DCHG, ,
180.0,1,1,1,1,1,180.0,-1.57,11.958,-18.7,-0.07,-0.93,0,0,DCHG, ,
210.0,1,1,1,1,1,210.0,-1.57,11.957,-18.7,-0.09,-1.09,0,0,DCHG, ,
240.0,1,1,1,1,1,240.0,-1.57,11.955,-18.7,-0.1,-1.24,0,0,DCHG, ,
270.0,1,1,1,1,1,270.0,-1.57,11.953,-18.7,-0.11,-1.4,0,0,DCHG, ,
300.0,1,1,1,1,1,300.0,-1.57,11.951,-18.7,-0.13,-1.55,0,0,DCHG, ,
330.0,1,1,1,1,1,330.0,-1.57,11.95,-18.7,-0.14,-1.71,0,0,DCHG, ,
360.0,1,1,1,1,1,360.0,-1.56,11.947,-18.6,-0.15,-1.86,0,0,DCHG, ,
390.0,1,1,1,1,1,390.0,-1.57,11.945,-18.7,-0.16,-2.02,0,0,DCHG, ,
420.0,1,1,1,1,1,420.0,-1.57,11.942,-18.7,-0.18,-2.18,0,0,DCHG, ,
450.0,1,1,1,1,1,450.0,-1.57,11.94,-18.7,-0.19,-2.33,0,0,DCHG, ,
480.0,1,1,1,1,1,480.0,-1.57,11.937,-18.7,-0.2,-2.49,0,0,DCHG, ,
510.0,1,1,1,1,1,510.0,-1.57,11.935,-18.7,-0.22,-2.64,0,0,DCHG, ,
