Test Name, UCT003-VD-C06-S01-2
Test Date, 2025/02/14 08:18:28 AM
Operator ID, Uyilo
, 
Program Name, VD LCV16 UCT003 C06
Program Description, 
Program Database, C:\VisuaLCN\Programs\Standard tests.mdb
, 
Module Type, fj
Module Description, LCV 16-100-12
Address, Port: 1, Sys Controller: 1  Circuit: 10
Name, Channel 10
Device ID, Unknown
, 
Notes,   5.21b, MDB 9.542025/02/14 08:18:21 AM - Started by Masa 
Editable Notes, 

Total Time,Cycle,Loop Counter #1,Loop Counter #2,Loop Counter #3,Step,Step time,Current,Voltage,Power,Amp-Hours,Watt-Hours,Unassigned A1,Unassigned A2,Mode,Data Acquisition Flag,
30.0,1,1,1,1,1,30.0,-1.57,12.807,-20.1,-0.01,-0.16,0,0,DCHG, ,
60.0,1,1,1,1,1,60.0,-1.57,12.79,-20,-0.02,-0.33,0,0,DCHG, ,
90.0,1,1,1,1,1,90.0,-1.57,12.788,-20,-0.03,-0.5,0,0,DCHG, ,
120.0,1,1,1,1,1,120.0,-1.57,12.788,-20,-0.05,-0.66,0,0,DCHG, ,
150.0,1,1,1,1,1,150.0,-1.56,12.787,-19.9,-0.06,-0.83,0,0,DCHG, ,
180.0,1,1,1,1,1,180.0,-1.57,12.785,-20,-0.07,-1,0,0,DCHG, ,
210.0,1,1,1,1,1,210.0,-1.57,12.784,-20,-0.09,-1.16,0,0,DCHG, ,
240.0,1,1,1,1,1,240.0,-1.57,12.783,-20,-0.1,-1.33,0,0,DCHG, ,
270.0,1,1,1,1,1,270.0,-1.57,12.781,-20,-0.11,-1.5,0,0,DCHG, ,
300.0,1,1,1,1,1,300.0,-1.57,12.778,-20,-0.13,-1.66,0,0,DCHG, ,
330.0,1,1,1,1,1,330.0,-1.57,12.776,-20,-0.14,-1.83,0,0,DCHG, ,
360.0,1,1,1,1,1,360.0,-1.57,12.773,-20,-0.15,-2,0,0,DCHG, ,
390.0,1,1,1,1,1,390.0,-1.57,12.771,-20,-0.16,-2.16,0,0,DCHG, ,
420.0,1,1,1,1,1,420.0,-1.57,12.768,-20,-0.18,-2.33,0,0,DCHG, ,
450.0,1,1,1,1,1,450.0,-1.57,12.766,-20,-0.19,-2.5,0,0,DCHG, ,
480.0,1,1,1,1,1,480.0,-1.57,12.763,-20,-0.2,-2.66,0,0,DCHG, ,
510.0,1,1,1,1,1,510.0,-1.57,12.761,-20,-0.22,-2.83,0,0,DCHG, ,
540.0,1,1,1,1,1,540.0,-1.57,12.758,-20,-0.23,-3,0,0,DCHG, ,
570.0,1,1,1,1,1,570.0,-1.57,12.754,-19.9,-0.24,-3.16,0,0,DCHG, ,
600.0,1,1,1,1,1,600.0,-1.56,12.752,-19.9,-0.26,-3.33,0,0,DCHG, ,
630.0,1,1,1,1,1,630.0,-1.57,12.749,-19.9,-0.27,-3.49,0,0,DCHG, ,
660.0,1,1,1,1,1,660.0,-1.57,12.747,-19.9,-0.28,-3.66,0,0,DCHG, ,
690.0,1,1,1,1,1,690.0,-1.57,12.744,-19.9,-0.3,-3.83,0,0,DCHG, ,
720.0,1,1,1,1,1,720.0,-1.57,12.741,-19.9,-0.31,-3.99,0,0,DCHG, ,
