Test Name, UCT003-VD-C06-S01
Test Date, 2025/02/13 09:55:32 AM
Operator ID, Uyilo
, 
Program Name, UCT003 Varied Discharge
Program Description, 
Program Database, C:\VisuaLCN\Programs\Standard tests.mdb
, 
Module Type, fj
Module Description, LCV 16-100-12
Address, Port: 1, Sys Controller: 1  Circuit: 10
Name, Channel 10
Device ID, Unknown
, 
Notes,   5.21b, MDB 9.542025/02/13 09:55:22 AM - Started by Masa
Editable Notes, 

Total Time,Cycle,Loop Counter #1,Loop Counter #2,Loop Counter #3,Step,Step time,Current,Voltage,Power,Amp-Hours,Watt-Hours,Unassigned A1,Unassigned A2,Mode,Data Acquisition Flag,
30.0,1,1,1,1,1,30.0,-1.56,12.806,-20,-0.01,-0.16,0,0,DCHG, ,
60.0,1,1,1,1,1,60.0,-1.57,12.784,-20,-0.02,-0.33,0,0,DCHG, ,
90.0,1,1,1,1,1,90.0,-1.57,12.777,-20,-0.03,-0.5,0,0,DCHG, ,
120.0,1,1,1,1,1,120.0,-1.57,12.774,-20,-0.05,-0.66,0,0,DCHG, ,
150.0,1,1,1,1,1,150.0,-1.57,12.771,-20,-0.06,-0.83,0,0,DCHG, ,
180.0,1,1,1,1,1,180.0,-1.57,12.768,-20,-0.07,-1,0,0,DCHG, ,
210.0,1,1,1,1,1,210.0,-1.57,12.766,-20,-0.09,-1.16,0,0,DCHG, ,
240.0,1,1,1,1,1,240.0,-1.57,12.764,-20,-0.1,-1.33,0,0,DCHG, ,
270.0,1,1,1,1,1,270.0,-1.57,12.762,-20,-0.11,-1.5,0,0,DCHG, ,
300.0,1,1,1,1,1,300.0,-1.57,12.759,-20,-0.13,-1.66,0,0,DCHG, ,
330.0,1,1,1,1,1,330.0,-1.57,12.758,-20,-0.14,-1.83,0,0,DCHG, ,
360.0,1,1,1,1,1,360.0,-1.57,12.755,-19.9,-0.15,-1.99,0,0,DCHG, ,
390.0,1,1,1,1,1,390.0,-1.57,12.752,-20,-0.16,-2.16,0,0,DCHG, ,
420.0,1,1,1,1,1,420.0,-1.57,12.75,-19.9,-0.18,-2.33,0,0,DCHG, ,
450.0,1,1,1,1,1,450.0,-1.57,12.748,-19.9,-0.19,-2.49,0,0,DCHG, ,
480.0,1,1,1,1,1,480.0,-1.57,12.745,-19.9,-0.2,-2.66,0,0,DCHG, ,
510.0,1,1,1,1,1,510.0,-1.57,12.742,-19.9,-0.22,-2.83,0,0,DCHG, ,
540.0,1,1,1,1,1,540.0,-1.57,12.739,-19.9,-0.23,-2.99,0,0,DCHG, ,
570.0,1,1,1,1,1,570.0,-1.57,12.737,-19.9,-0.24,-3.16,0,0,DCHG, ,
600.0,1,1,1,1,1,600.0,-1.57,12.733,-19.9,-0.26,-3.32,0,0,DCHG, ,
630.0,1,1,1,1,1,630.0,-1.57,12.731,-19.9,-0.27,-3.49,0,0,DCHG, ,
660.0,1,1,1,1,1,660.0,-1.57,12.728,-19.9,-0.28,-3.65,0,0,DCHG, ,
690.0,1,1,1,1,1,690.0,-1.57,12.725,-19.9,-0.3,-3.82,0,0,DCHG, ,
720.0,1,1,1,1,1,720.0,-1.57,12.721,-19.9,-0.31,-3.99,0,0,DCHG, ,
750.0,1,1,1,1,1,750.0,-1.57,12.719,-19.9,-0.32,-4.15,0,0,DCHG, ,
780.0,1,1,1,1,1,780.0,-1.57,12.716,-19.9,-0.34,-4.32,0,0,DCHG, ,
810.0,1,1,1,1,1,810.0,-1.57,12.713,-19.9,-0.35,-4.48,0,0,DCHG, ,
840.0,1,1,1,1,1,840.0,-1.57,12.71,-19.9,-0.36,-4.65,0,0,DCHG, ,
870.0,1,1,1,1,1,870.0,-1.57,12.707,-19.9,-0.37,-4.81,0,0,DCHG, ,
900.0,1,1,1,1,1,900.0,-1.57,12.704,-19.9,-0.39,-4.98,0,0,DCHG, ,
930.0,1,1,1,1,1,930.0,-1.57,12.7,-19.9,-0.4,-5.15,0,0,DCHG, ,
960.0,1,1,1,1,1,960.0,-1.57,12.697,-19.9,-0.41,-5.31,0,0,DCHG, ,
990.0,1,1,1,1,1,990.0,-1.57,12.695,-19.9,-0.43,-5.48,0,0,DCHG, ,
1020.0,1,1,1,1,1,1020.0,-1.57,12.691,-19.8,-0.44,-5.64,0,0,DCHG, ,
1050.0,1,1,1,1,1,1050.0,-1.57,12.688,-19.9,-0.45,-5.81,0,0,DCHG, ,
1080.0,1,1,1,1,1,1080.0,-1.57,12.685,-19.8,-0.47,-5.97,0,0,DCHG, ,
1110.0,1,1,1,1,1,1110.0,-1.57,12.682,-19.8,-0.48,-6.14,0,0,DCHG, ,
1140.0,1,1,1,1,1,1140.0,-1.57,12.679,-19.8,-0.49,-6.3,0,0,DCHG, ,
1170.0,1,1,1,1,1,1170.0,-1.56,12.676,-19.8,-0.51,-6.47,0,0,DCHG, ,
1200.0,1,1,1,1,1,1200.0,-1.57,12.673,-19.8,-0.52,-6.63,0,0,DCHG, ,
1230.0,1,1,1,1,1,1230.0,-1.57,12.67,-19.8,-0.53,-6.8,0,0,DCHG, ,
1260.0,1,1,1,1,1,1260.0,-1.57,12.667,-19.8,-0.54,-6.96,0,0,DCHG, ,
1290.0,1,1,1,1,1,1290.0,-1.57,12.663,-19.8,-0.56,-7.13,0,0,DCHG, ,
1320.0,1,1,1,1,1,1320.0,-1.57,12.66,-19.8,-0.57,-7.29,0,0,DCHG, ,
1350.0,1,1,1,1,1,1350.0,-1.57,12.657,-19.8,-0.58,-7.46,0,0,DCHG, ,
1380.0,1,1,1,1,1,1380.0,-1.57,12.654,-19.8,-0.6,-7.62,0,0,DCHG, ,
1410.0,1,1,1,1,1,1410.0,-1.57,12.651,-19.8,-0.61,-7.79,0,0,DCHG, ,
1440.0,1,1,1,1,1,1440.0,-1.57,12.648,-19.8,-0.62,-7.95,0,0,DCHG, ,
1470.0,1,1,1,1,1,1470.0,-1.57,12.644,-19.8,-0.64,-8.12,0,0,DCHG, ,
1500.0,1,1,1,1,1,1500.0,-1.57,12.641,-19.8,-0.65,-8.28,0,0,DCHG, ,
1530.0,1,1,1,1,1,1530.0,-1.57,12.638,-19.8,-0.66,-8.45,0,0,DCHG, ,
1560.0,1,1,1,1,1,1560.0,-1.57,12.635,-19.8,-0.68,-8.61,0,0,DCHG, ,
1590.0,1,1,1,1,1,1590.0,-1.57,12.632,-19.8,-0.69,-8.78,0,0,DCHG, ,
1620.0,1,1,1,1,1,1620.0,-1.57,12.629,-19.8,-0.7,-8.94,0,0,DCHG, ,
1650.0,1,1,1,1,1,1650.0,-1.57,12.625,-19.7,-0.71,-9.11,0,0,DCHG, ,
1680.0,1,1,1,1,1,1680.0,-1.57,12.622,-19.7,-0.73,-9.27,0,0,DCHG, ,
1710.0,1,1,1,1,1,1710.0,-1.57,12.616,-19.7,-0.74,-9.44,0,0,DCHG, ,
1740.0,1,1,1,1,1,1740.0,-1.57,12.616,-19.7,-0.75,-9.6,0,0,DCHG, ,
1770.0,1,1,1,1,1,1770.0,-1.57,12.613,-19.8,-0.77,-9.77,0,0,DCHG, ,
1800.0,1,1,1,1,1,1800.0,-1.57,12.61,-19.7,-0.78,-9.93,0,0,DCHG, ,
1830.0,1,1,1,1,1,1830.0,-1.57,12.606,-19.7,-0.79,-10.09,0,0,DCHG, ,
1860.0,1,1,1,1,1,1860.0,-1.56,12.603,-19.6,-0.81,-10.26,0,0,DCHG, ,
1890.0,1,1,1,1,1,1890.0,-1.57,12.601,-19.7,-0.82,-10.42,0,0,DCHG, ,
1920.0,1,1,1,1,1,1920.0,-1.57,12.598,-19.7,-0.83,-10.59,0,0,DCHG, ,
1950.0,1,1,1,1,1,1950.0,-1.57,12.595,-19.7,-0.85,-10.75,0,0,DCHG, ,
1980.0,1,1,1,1,1,1980.0,-1.57,12.591,-19.7,-0.86,-10.92,0,0,DCHG, ,
2010.0,1,1,1,1,1,2010.0,-1.57,12.588,-19.7,-0.87,-11.08,0,0,DCHG, ,
2040.0,1,1,1,1,1,2040.0,-1.57,12.585,-19.7,-0.88,-11.24,0,0,DCHG, ,
2070.0,1,1,1,1,1,2070.0,-1.57,12.582,-19.7,-0.9,-11.41,0,0,DCHG, ,
2100.0,1,1,1,1,1,2100.0,-1.57,12.579,-19.7,-0.91,-11.57,0,0,DCHG, ,
2130.0,1,1,1,1,1,2130.0,-1.57,12.576,-19.7,-0.92,-11.74,0,0,DCHG, ,
2160.0,1,1,1,1,1,2160.0,-1.57,12.573,-19.7,-0.94,-11.9,0,0,DCHG, ,
2190.0,1,1,1,1,1,2190.0,-1.57,12.57,-19.7,-0.95,-12.06,0,0,DCHG, ,
2220.0,1,1,1,1,1,2220.0,-1.57,12.566,-19.7,-0.96,-12.23,0,0,DCHG, ,
2250.0,1,1,1,1,1,2250.0,-1.57,12.563,-19.7,-0.98,-12.39,0,0,DCHG, ,
2280.0,1,1,1,1,1,2280.0,-1.57,12.56,-19.7,-0.99,-12.56,0,0,DCHG, ,
2310.0,1,1,1,1,1,2310.0,-1.57,12.557,-19.6,-1,-12.72,0,0,DCHG, ,
2340.0,1,1,1,1,1,2340.0,-1.57,12.554,-19.7,-1.02,-12.88,0,0,DCHG, ,
2370.0,1,1,1,1,1,2370.0,-1.57,12.551,-19.6,-1.03,-13.05,0,0,DCHG, ,
2400.0,1,1,1,1,1,2400.0,-1.57,12.547,-19.6,-1.04,-13.21,0,0,DCHG, ,
2430.0,1,1,1,1,1,2430.0,-1.57,12.544,-19.6,-1.05,-13.37,0,0,DCHG, ,
2460.0,1,1,1,1,1,2460.0,-1.57,12.541,-19.6,-1.07,-13.54,0,0,DCHG, ,
2490.0,1,1,1,1,1,2490.0,-1.57,12.538,-19.6,-1.08,-13.7,0,0,DCHG, ,
2520.0,1,1,1,1,1,2520.0,-1.57,12.535,-19.6,-1.09,-13.86,0,0,DCHG, ,
2550.0,1,1,1,1,1,2550.0,-1.57,12.531,-19.6,-1.11,-14.03,0,0,DCHG, ,
2580.0,1,1,1,1,1,2580.0,-1.57,12.529,-19.6,-1.12,-14.19,0,0,DCHG, ,
2610.0,1,1,1,1,1,2610.0,-1.57,12.526,-19.6,-1.13,-14.35,0,0,DCHG, ,
2640.0,1,1,1,1,1,2640.0,-1.57,12.523,-19.6,-1.15,-14.52,0,0,DCHG, ,
2670.0,1,1,1,1,1,2670.0,-1.56,12.52,-19.5,-1.16,-14.68,0,0,DCHG, ,
2700.0,1,1,1,1,1,2700.0,-1.57,12.516,-19.6,-1.17,-14.84,0,0,DCHG, ,
2730.0,1,1,1,1,1,2730.0,-1.57,12.513,-19.6,-1.19,-15.01,0,0,DCHG, ,
2760.0,1,1,1,1,1,2760.0,-1.57,12.51,-19.6,-1.2,-15.17,0,0,DCHG, ,
2790.0,1,1,1,1,1,2790.0,-1.57,12.507,-19.6,-1.21,-15.33,0,0,DCHG, ,
2820.0,1,1,1,1,1,2820.0,-1.57,12.504,-19.6,-1.22,-15.5,0,0,DCHG, ,
2850.0,1,1,1,1,1,2850.0,-1.57,12.501,-19.6,-1.24,-15.66,0,0,DCHG, ,
2880.0,1,1,1,1,1,2880.0,-1.57,12.497,-19.5,-1.25,-15.82,0,0,DCHG, ,
2910.0,1,1,1,1,1,2910.0,-1.57,12.494,-19.5,-1.26,-15.98,0,0,DCHG, ,
2940.0,1,1,1,1,1,2940.0,-1.57,12.491,-19.6,-1.28,-16.15,0,0,DCHG, ,
2970.0,1,1,1,1,1,2970.0,-1.57,12.488,-19.5,-1.29,-16.31,0,0,DCHG, ,
3000.0,1,1,1,1,1,3000.0,-1.57,12.485,-19.5,-1.3,-16.47,0,0,DCHG, ,
3030.0,1,1,1,1,1,3030.0,-1.57,12.482,-19.5,-1.32,-16.64,0,0,DCHG, ,
3060.0,1,1,1,1,1,3060.0,-1.57,12.478,-19.5,-1.33,-16.8,0,0,DCHG, ,
3090.0,1,1,1,1,1,3090.0,-1.57,12.476,-19.5,-1.34,-16.96,0,0,DCHG, ,
3120.0,1,1,1,1,1,3120.0,-1.57,12.472,-19.5,-1.36,-17.12,0,0,DCHG, ,
3150.0,1,1,1,1,1,3150.0,-1.57,12.469,-19.5,-1.37,-17.29,0,0,DCHG, ,
3180.0,1,1,1,1,1,3180.0,-1.57,12.466,-19.5,-1.38,-17.45,0,0,DCHG, ,
3210.0,1,1,1,1,1,3210.0,-1.57,12.462,-19.5,-1.39,-17.61,0,0,DCHG, ,
3240.0,1,1,1,1,1,3240.0,-1.57,12.46,-19.5,-1.41,-17.77,0,0,DCHG, ,
3270.0,1,1,1,1,1,3270.0,-1.57,12.457,-19.5,-1.42,-17.94,0,0,DCHG, ,
3300.0,1,1,1,1,1,3300.0,-1.57,12.453,-19.5,-1.43,-18.1,0,0,DCHG, ,
3330.0,1,1,1,1,1,3330.0,-1.57,12.45,-19.5,-1.45,-18.26,0,0,DCHG, ,
3360.0,1,1,1,1,1,3360.0,-1.57,12.447,-19.4,-1.46,-18.42,0,0,DCHG, ,
3390.0,1,1,1,1,1,3390.0,-1.57,12.444,-19.5,-1.47,-18.58,0,0,DCHG, ,
3420.0,1,1,1,1,1,3420.0,-1.57,12.441,-19.5,-1.49,-18.75,0,0,DCHG, ,
3450.0,1,1,1,1,1,3450.0,-1.57,12.438,-19.5,-1.5,-18.91,0,0,DCHG, ,
3480.0,1,1,1,1,1,3480.0,-1.57,12.435,-19.4,-1.51,-19.07,0,0,DCHG, ,
3510.0,1,1,1,1,1,3510.0,-1.57,12.431,-19.4,-1.53,-19.23,0,0,DCHG, ,
3540.0,1,1,1,1,1,3540.0,-1.57,12.428,-19.4,-1.54,-19.4,0,0,DCHG, ,
3570.0,1,1,1,1,1,3570.0,-1.57,12.425,-19.4,-1.55,-19.56,0,0,DCHG, ,
3600.0,1,1,1,1,1,3600.0,-1.57,12.422,-19.4,-1.56,-19.72,0,0,DCHG, ,
3630.0,1,1,1,1,1,3630.0,-1.57,12.418,-19.4,-1.58,-19.88,0,0,DCHG, ,
3660.0,1,1,1,1,1,3660.0,-1.57,12.415,-19.4,-1.59,-20.04,0,0,DCHG, ,
3690.0,1,1,1,1,1,3690.0,-1.57,12.412,-19.4,-1.6,-20.2,0,0,DCHG, ,
3720.0,1,1,1,1,1,3720.0,-1.57,12.41,-19.4,-1.62,-20.37,0,0,DCHG, ,
3750.0,1,1,1,1,1,3750.0,-1.57,12.406,-19.4,-1.63,-20.53,0,0,DCHG, ,
3780.0,1,1,1,1,1,3780.0,-1.57,12.403,-19.4,-1.64,-20.69,0,0,DCHG, ,
3810.0,1,1,1,1,1,3810.0,-1.57,12.4,-19.4,-1.66,-20.85,0,0,DCHG, ,
3840.0,1,1,1,1,1,3840.0,-1.57,12.397,-19.4,-1.67,-21.01,0,0,DCHG, ,
3870.0,1,1,1,1,1,3870.0,-1.57,12.394,-19.4,-1.68,-21.17,0,0,DCHG, ,
3900.0,1,1,1,1,1,3900.0,-1.56,12.39,-19.3,-1.7,-21.34,0,0,DCHG, ,
3930.0,1,1,1,1,1,3930.0,-1.57,12.388,-19.4,-1.71,-21.5,0,0,DCHG, ,
3960.0,1,1,1,1,1,3960.0,-1.57,12.385,-19.4,-1.72,-21.66,0,0,DCHG, ,
3990.0,1,1,1,1,1,3990.0,-1.57,12.381,-19.4,-1.73,-21.82,0,0,DCHG, ,
4020.0,1,1,1,1,1,4020.0,-1.57,12.378,-19.4,-1.75,-21.98,0,0,DCHG, ,
4050.0,1,1,1,1,1,4050.0,-1.57,12.375,-19.4,-1.76,-22.14,0,0,DCHG, ,
4080.0,1,1,1,1,1,4080.0,-1.57,12.372,-19.4,-1.77,-22.31,0,0,DCHG, ,
4110.0,1,1,1,1,1,4110.0,-1.57,12.369,-19.4,-1.79,-22.47,0,0,DCHG, ,
4140.0,1,1,1,1,1,4140.0,-1.57,12.366,-19.3,-1.8,-22.63,0,0,DCHG, ,
4170.0,1,1,1,1,1,4170.0,-1.57,12.363,-19.3,-1.81,-22.79,0,0,DCHG, ,
4200.0,1,1,1,1,1,4200.0,-1.57,12.359,-19.3,-1.83,-22.95,0,0,DCHG, ,
4230.0,1,1,1,1,1,4230.0,-1.56,12.356,-19.2,-1.84,-23.11,0,0,DCHG, ,
4260.0,1,1,1,1,1,4260.0,-1.57,12.353,-19.3,-1.85,-23.27,0,0,DCHG, ,
4290.0,1,1,1,1,1,4290.0,-1.57,12.35,-19.3,-1.87,-23.43,0,0,DCHG, ,
4320.0,1,1,1,1,1,4320.0,-1.57,12.347,-19.3,-1.88,-23.59,0,0,DCHG, ,
4350.0,1,1,1,1,1,4350.0,-1.57,12.344,-19.3,-1.89,-23.75,0,0,DCHG, ,
4380.0,1,1,1,1,1,4380.0,-1.57,12.341,-19.3,-1.9,-23.92,0,0,DCHG, ,
4410.0,1,1,1,1,1,4410.0,-1.57,12.338,-19.3,-1.92,-24.08,0,0,DCHG, ,
4434.4,1,1,1,1,1,4434.4,-1.56,12.336,-19.2,-1.93,-24.21,0,0,DCHG,H,
Total Number of Data Lines in the Database: 0000000148
