Test Name, UCT003-VD-C07-S01-2
Test Date, 2025/02/14 10:17:37 AM
Operator ID, Uyilo
, 
Program Name, VD LCV16 UCT003 C07
Program Description, 
Program Database, C:\VisuaLCN\Programs\Standard tests.mdb
, 
Module Type, fj
Module Description, LCV 16-100-12
Address, Port: 1, Sys Controller: 1  Circuit: 16
Name, Channel 16
Device ID, Unknown
, 
Notes,   5.21b, MDB 9.542025/02/14 10:17:30 AM - Started by Masa
Editable Notes, 

Total Time,Cycle,Loop Counter #1,Loop Counter #2,Loop Counter #3,Step,Step time,Current,Voltage,Power,Amp-Hours,Watt-Hours,Unassigned A1,Unassigned A2,Mode,Data Acquisition Flag,
30.0,1,1,1,1,1,30.0,-1.57,12.901,-20.2,-0.01,-0.16,0,0,DCHG, ,
60.0,1,1,1,1,1,60.0,-1.57,12.862,-20.1,-0.02,-0.33,0,0,DCHG, ,
90.0,1,1,1,1,1,90.0,-1.57,12.854,-20.1,-0.03,-0.5,0,0,DCHG, ,
120.0,1,1,1,1,1,120.0,-1.57,12.849,-20.1,-0.05,-0.67,0,0,DCHG, ,
150.0,1,1,1,1,1,150.0,-1.57,12.845,-20.1,-0.06,-0.83,0,0,DCHG, ,
180.0,1,1,1,1,1,180.0,-1.57,12.842,-20.1,-0.07,-1,0,0,DCHG, ,
210.0,1,1,1,1,1,210.0,-1.57,12.837,-20.1,-0.09,-1.17,0,0,DCHG, ,
240.0,1,1,1,1,1,240.0,-1.57,12.833,-20.1,-0.1,-1.34,0,0,DCHG, ,
270.0,1,1,1,1,1,270.0,-1.57,12.829,-20,-0.11,-1.5,0,0,DCHG, ,
300.0,1,1,1,1,1,300.0,-1.57,12.826,-20.1,-0.13,-1.67,0,0,DCHG, ,
330.0,1,1,1,1,1,330.0,-1.57,12.821,-20.1,-0.14,-1.84,0,0,DCHG, ,
360.0,1,1,1,1,1,360.0,-1.56,12.816,-20,-0.15,-2.01,0,0,DCHG, ,
390.0,1,1,1,1,1,390.0,-1.57,12.813,-20,-0.16,-2.17,0,0,DCHG, ,
420.0,1,1,1,1,1,420.0,-1.56,12.811,-20,-0.18,-2.34,0,0,DCHG, ,
450.0,1,1,1,1,1,450.0,-1.57,12.807,-20.1,-0.19,-2.51,0,0,DCHG, ,
480.0,1,1,1,1,1,480.0,-1.57,12.804,-20,-0.2,-2.67,0,0,DCHG, ,
510.0,1,1,1,1,1,510.0,-1.57,12.799,-20,-0.22,-2.84,0,0,DCHG, ,
540.0,1,1,1,1,1,540.0,-1.57,12.797,-20,-0.23,-3.01,0,0,DCHG, ,
570.0,1,1,1,1,1,570.0,-1.57,12.794,-20,-0.24,-3.17,0,0,DCHG, ,
600.0,1,1,1,1,1,600.0,-1.57,12.791,-20,-0.26,-3.34,0,0,DCHG, ,
630.0,1,1,1,1,1,630.0,-1.57,12.787,-20,-0.27,-3.51,0,0,DCHG, ,
660.0,1,1,1,1,1,660.0,-1.57,12.784,-20,-0.28,-3.67,0,0,DCHG, ,
690.0,1,1,1,1,1,690.0,-1.56,12.781,-19.9,-0.3,-3.84,0,0,DCHG, ,
720.0,1,1,1,1,1,720.0,-1.57,12.779,-20,-0.31,-4.01,0,0,DCHG, ,
750.0,1,1,1,1,1,750.0,-1.57,12.774,-20,-0.32,-4.17,0,0,DCHG, ,
780.0,1,1,1,1,1,780.0,-1.57,12.771,-20,-0.33,-4.34,0,0,DCHG, ,
810.0,1,1,1,1,1,810.0,-1.57,12.769,-19.9,-0.35,-4.51,0,0,DCHG, ,
840.0,1,1,1,1,1,840.0,-1.57,12.765,-20,-0.36,-4.67,0,0,DCHG, ,
870.0,1,1,1,1,1,870.0,-1.57,12.762,-20,-0.37,-4.84,0,0,DCHG, ,
900.0,1,1,1,1,1,900.0,-1.57,12.759,-20,-0.39,-5.01,0,0,DCHG, ,
930.0,1,1,1,1,1,930.0,-1.57,12.756,-20,-0.4,-5.17,0,0,DCHG, ,
960.0,1,1,1,1,1,960.0,-1.57,12.753,-20,-0.41,-5.34,0,0,DCHG, ,
990.0,1,1,1,1,1,990.0,-1.57,12.75,-19.9,-0.43,-5.5,0,0,DCHG, ,
1020.0,1,1,1,1,1,1020.0,-1.57,12.748,-19.9,-0.44,-5.67,0,0,DCHG, ,
1050.0,1,1,1,1,1,1050.0,-1.57,12.745,-19.9,-0.45,-5.84,0,0,DCHG, ,
1080.0,1,1,1,1,1,1080.0,-1.57,12.742,-19.9,-0.47,-6,0,0,DCHG, ,
1110.0,1,1,1,1,1,1110.0,-1.57,12.739,-19.9,-0.48,-6.17,0,0,DCHG, ,
1140.0,1,1,1,1,1,1140.0,-1.57,12.736,-19.9,-0.49,-6.33,0,0,DCHG, ,
1170.0,1,1,1,1,1,1170.0,-1.57,12.734,-19.9,-0.5,-6.5,0,0,DCHG, ,
1200.0,1,1,1,1,1,1200.0,-1.57,12.731,-19.9,-0.52,-6.67,0,0,DCHG, ,
1230.0,1,1,1,1,1,1230.0,-1.57,12.728,-19.9,-0.53,-6.83,0,0,DCHG, ,
1260.0,1,1,1,1,1,1260.0,-1.57,12.726,-19.9,-0.54,-7,0,0,DCHG, ,
1290.0,1,1,1,1,1,1290.0,-1.57,12.723,-19.9,-0.56,-7.16,0,0,DCHG, ,
1320.0,1,1,1,1,1,1320.0,-1.57,12.72,-19.9,-0.57,-7.33,0,0,DCHG, ,
1350.0,1,1,1,1,1,1350.0,-1.57,12.718,-19.9,-0.58,-7.49,0,0,DCHG, ,
1380.0,1,1,1,1,1,1380.0,-1.57,12.715,-19.9,-0.6,-7.66,0,0,DCHG, ,
1410.0,1,1,1,1,1,1410.0,-1.57,12.712,-19.9,-0.61,-7.83,0,0,DCHG, ,
1440.0,1,1,1,1,1,1440.0,-1.57,12.71,-19.9,-0.62,-7.99,0,0,DCHG, ,
1470.0,1,1,1,1,1,1470.0,-1.57,12.707,-19.9,-0.64,-8.16,0,0,DCHG, ,
1500.0,1,1,1,1,1,1500.0,-1.57,12.704,-19.9,-0.65,-8.32,0,0,DCHG, ,
1530.0,1,1,1,1,1,1530.0,-1.57,12.702,-19.9,-0.66,-8.49,0,0,DCHG, ,
1560.0,1,1,1,1,1,1560.0,-1.57,12.699,-19.9,-0.67,-8.65,0,0,DCHG, ,
1590.0,1,1,1,1,1,1590.0,-1.57,12.696,-19.9,-0.69,-8.82,0,0,DCHG, ,
1620.0,1,1,1,1,1,1620.0,-1.57,12.693,-19.9,-0.7,-8.99,0,0,DCHG, ,
1650.0,1,1,1,1,1,1650.0,-1.56,12.69,-19.8,-0.71,-9.15,0,0,DCHG, ,
1680.0,1,1,1,1,1,1680.0,-1.56,12.688,-19.8,-0.73,-9.32,0,0,DCHG, ,
1710.0,1,1,1,1,1,1710.0,-1.56,12.685,-19.8,-0.74,-9.48,0,0,DCHG, ,
1740.0,1,1,1,1,1,1740.0,-1.57,12.683,-19.8,-0.75,-9.65,0,0,DCHG, ,
1770.0,1,1,1,1,1,1770.0,-1.57,12.679,-19.9,-0.77,-9.81,0,0,DCHG, ,
1800.0,1,1,1,1,1,1800.0,-1.57,12.676,-19.8,-0.78,-9.98,0,0,DCHG, ,
1830.0,1,1,1,1,1,1830.0,-1.57,12.673,-19.8,-0.79,-10.14,0,0,DCHG, ,
1860.0,1,1,1,1,1,1860.0,-1.57,12.671,-19.8,-0.81,-10.31,0,0,DCHG, ,
1890.0,1,1,1,1,1,1890.0,-1.57,12.667,-19.8,-0.82,-10.47,0,0,DCHG, ,
1920.0,1,1,1,1,1,1920.0,-1.57,12.665,-19.8,-0.83,-10.64,0,0,DCHG, ,
1950.0,1,1,1,1,1,1950.0,-1.57,12.663,-19.8,-0.84,-10.8,0,0,DCHG, ,
1980.0,1,1,1,1,1,1980.0,-1.57,12.66,-19.8,-0.86,-10.97,0,0,DCHG, ,
2010.0,1,1,1,1,1,2010.0,-1.57,12.658,-19.8,-0.87,-11.13,0,0,DCHG, ,
2040.0,1,1,1,1,1,2040.0,-1.57,12.654,-19.8,-0.88,-11.3,0,0,DCHG, ,
2070.0,1,1,1,1,1,2070.0,-1.57,12.652,-19.8,-0.9,-11.46,0,0,DCHG, ,
2100.0,1,1,1,1,1,2100.0,-1.57,12.65,-19.8,-0.91,-11.63,0,0,DCHG, ,
2130.0,1,1,1,1,1,2130.0,-1.57,12.646,-19.8,-0.92,-11.79,0,0,DCHG, ,
2160.0,1,1,1,1,1,2160.0,-1.57,12.643,-19.8,-0.94,-11.96,0,0,DCHG, ,
2190.0,1,1,1,1,1,2190.0,-1.56,12.641,-19.7,-0.95,-12.12,0,0,DCHG, ,
2220.0,1,1,1,1,1,2220.0,-1.57,12.639,-19.8,-0.96,-12.29,0,0,DCHG, ,
2250.0,1,1,1,1,1,2250.0,-1.57,12.636,-19.8,-0.98,-12.45,0,0,DCHG, ,
2280.0,1,1,1,1,1,2280.0,-1.57,12.633,-19.8,-0.99,-12.62,0,0,DCHG, ,
2310.0,1,1,1,1,1,2310.0,-1.57,12.63,-19.8,-1,-12.78,0,0,DCHG, ,
2340.0,1,1,1,1,1,2340.0,-1.57,12.628,-19.7,-1.01,-12.94,0,0,DCHG, ,
2370.0,1,1,1,1,1,2370.0,-1.57,12.625,-19.7,-1.03,-13.11,0,0,DCHG, ,
2400.0,1,1,1,1,1,2400.0,-1.57,12.622,-19.7,-1.04,-13.27,0,0,DCHG, ,
2430.0,1,1,1,1,1,2430.0,-1.57,12.62,-19.7,-1.05,-13.44,0,0,DCHG, ,
2460.0,1,1,1,1,1,2460.0,-1.57,12.617,-19.7,-1.07,-13.6,0,0,DCHG, ,
2490.0,1,1,1,1,1,2490.0,-1.57,12.613,-19.7,-1.08,-13.77,0,0,DCHG, ,
2520.0,1,1,1,1,1,2520.0,-1.57,12.612,-19.7,-1.09,-13.93,0,0,DCHG, ,
2550.0,1,1,1,1,1,2550.0,-1.57,12.609,-19.7,-1.11,-14.09,0,0,DCHG, ,
2580.0,1,1,1,1,1,2580.0,-1.57,12.606,-19.7,-1.12,-14.26,0,0,DCHG, ,
2610.0,1,1,1,1,1,2610.0,-1.57,12.603,-19.7,-1.13,-14.42,0,0,DCHG, ,
2640.0,1,1,1,1,1,2640.0,-1.57,12.601,-19.7,-1.15,-14.59,0,0,DCHG, ,
2670.0,1,1,1,1,1,2670.0,-1.57,12.597,-19.7,-1.16,-14.75,0,0,DCHG, ,
2700.0,1,1,1,1,1,2700.0,-1.57,12.595,-19.7,-1.17,-14.92,0,0,DCHG, ,
2730.0,1,1,1,1,1,2730.0,-1.57,12.593,-19.7,-1.18,-15.08,0,0,DCHG, ,
2760.0,1,1,1,1,1,2760.0,-1.57,12.59,-19.7,-1.2,-15.24,0,0,DCHG, ,
2790.0,1,1,1,1,1,2790.0,-1.57,12.587,-19.7,-1.21,-15.41,0,0,DCHG, ,
2820.0,1,1,1,1,1,2820.0,-1.57,12.584,-19.7,-1.22,-15.57,0,0,DCHG, ,
2850.0,1,1,1,1,1,2850.0,-1.56,12.582,-19.6,-1.24,-15.74,0,0,DCHG, ,
2880.0,1,1,1,1,1,2880.0,-1.56,12.579,-19.6,-1.25,-15.9,0,0,DCHG, ,
2910.0,1,1,1,1,1,2910.0,-1.57,12.576,-19.7,-1.26,-16.06,0,0,DCHG, ,
2940.0,1,1,1,1,1,2940.0,-1.57,12.573,-19.7,-1.28,-16.23,0,0,DCHG, ,
2970.0,1,1,1,1,1,2970.0,-1.57,12.57,-19.7,-1.29,-16.39,0,0,DCHG, ,
3000.0,1,1,1,1,1,3000.0,-1.57,12.567,-19.7,-1.3,-16.56,0,0,DCHG, ,
3030.0,1,1,1,1,1,3030.0,-1.57,12.565,-19.6,-1.32,-16.72,0,0,DCHG, ,
3060.0,1,1,1,1,1,3060.0,-1.57,12.562,-19.6,-1.33,-16.88,0,0,DCHG, ,
3090.0,1,1,1,1,1,3090.0,-1.57,12.56,-19.6,-1.34,-17.05,0,0,DCHG, ,
3120.0,1,1,1,1,1,3120.0,-1.57,12.557,-19.6,-1.35,-17.21,0,0,DCHG, ,
3150.0,1,1,1,1,1,3150.0,-1.57,12.554,-19.7,-1.37,-17.37,0,0,DCHG, ,
3180.0,1,1,1,1,1,3180.0,-1.57,12.551,-19.7,-1.38,-17.54,0,0,DCHG, ,
3210.0,1,1,1,1,1,3210.0,-1.57,12.549,-19.6,-1.39,-17.7,0,0,DCHG, ,
3240.0,1,1,1,1,1,3240.0,-1.57,12.545,-19.6,-1.41,-17.86,0,0,DCHG, ,
3270.0,1,1,1,1,1,3270.0,-1.57,12.544,-19.6,-1.42,-18.03,0,0,DCHG, ,
3300.0,1,1,1,1,1,3300.0,-1.57,12.54,-19.6,-1.43,-18.19,0,0,DCHG, ,
3330.0,1,1,1,1,1,3330.0,-1.57,12.537,-19.6,-1.45,-18.35,0,0,DCHG, ,
3360.0,1,1,1,1,1,3360.0,-1.57,12.535,-19.6,-1.46,-18.52,0,0,DCHG, ,
3390.0,1,1,1,1,1,3390.0,-1.57,12.532,-19.6,-1.47,-18.68,0,0,DCHG, ,
3420.0,1,1,1,1,1,3420.0,-1.57,12.529,-19.6,-1.49,-18.84,0,0,DCHG, ,
3450.0,1,1,1,1,1,3450.0,-1.57,12.526,-19.6,-1.5,-19.01,0,0,DCHG, ,
3480.0,1,1,1,1,1,3480.0,-1.56,12.523,-19.5,-1.51,-19.17,0,0,DCHG, ,
3510.0,1,1,1,1,1,3510.0,-1.57,12.521,-19.6,-1.52,-19.33,0,0,DCHG, ,
3540.0,1,1,1,1,1,3540.0,-1.57,12.519,-19.6,-1.54,-19.5,0,0,DCHG, ,
3570.0,1,1,1,1,1,3570.0,-1.57,12.515,-19.6,-1.55,-19.66,0,0,DCHG, ,
3600.0,1,1,1,1,1,3600.0,-1.57,12.513,-19.6,-1.56,-19.82,0,0,DCHG, ,
3630.0,1,1,1,1,1,3630.0,-1.56,12.51,-19.5,-1.58,-19.99,0,0,DCHG, ,
3660.0,1,1,1,1,1,3660.0,-1.57,12.507,-19.6,-1.59,-20.15,0,0,DCHG, ,
3690.0,1,1,1,1,1,3690.0,-1.57,12.504,-19.6,-1.6,-20.31,0,0,DCHG, ,
3720.0,1,1,1,1,1,3720.0,-1.57,12.502,-19.6,-1.62,-20.48,0,0,DCHG, ,
3750.0,1,1,1,1,1,3750.0,-1.57,12.499,-19.5,-1.63,-20.64,0,0,DCHG, ,
3780.0,1,1,1,1,1,3780.0,-1.56,12.497,-19.5,-1.64,-20.8,0,0,DCHG, ,
3810.0,1,1,1,1,1,3810.0,-1.57,12.494,-19.5,-1.66,-20.96,0,0,DCHG, ,
3840.0,1,1,1,1,1,3840.0,-1.56,12.491,-19.5,-1.67,-21.13,0,0,DCHG, ,
3870.0,1,1,1,1,1,3870.0,-1.57,12.488,-19.5,-1.68,-21.29,0,0,DCHG, ,
3900.0,1,1,1,1,1,3900.0,-1.57,12.485,-19.5,-1.69,-21.45,0,0,DCHG, ,
3930.0,1,1,1,1,1,3930.0,-1.57,12.482,-19.5,-1.71,-21.61,0,0,DCHG, ,
3960.0,1,1,1,1,1,3960.0,-1.57,12.479,-19.5,-1.72,-21.78,0,0,DCHG, ,
3990.0,1,1,1,1,1,3990.0,-1.57,12.476,-19.5,-1.73,-21.94,0,0,DCHG, ,
4020.0,1,1,1,1,1,4020.0,-1.57,12.474,-19.5,-1.75,-22.1,0,0,DCHG, ,
4050.0,1,1,1,1,1,4050.0,-1.57,12.471,-19.5,-1.76,-22.26,0,0,DCHG, ,
4080.0,1,1,1,1,1,4080.0,-1.57,12.468,-19.5,-1.77,-22.43,0,0,DCHG, ,
4110.0,1,1,1,1,1,4110.0,-1.57,12.465,-19.5,-1.79,-22.59,0,0,DCHG, ,
4140.0,1,1,1,1,1,4140.0,-1.57,12.463,-19.5,-1.8,-22.75,0,0,DCHG, ,
4170.0,1,1,1,1,1,4170.0,-1.57,12.46,-19.5,-1.81,-22.91,0,0,DCHG, ,
4200.0,1,1,1,1,1,4200.0,-1.57,12.457,-19.5,-1.83,-23.08,0,0,DCHG, ,
4230.0,1,1,1,1,1,4230.0,-1.57,12.454,-19.5,-1.84,-23.24,0,0,DCHG, ,
4260.0,1,1,1,1,1,4260.0,-1.56,12.451,-19.4,-1.85,-23.4,0,0,DCHG, ,
4290.0,1,1,1,1,1,4290.0,-1.57,12.448,-19.5,-1.86,-23.56,0,0,DCHG, ,
4320.0,1,1,1,1,1,4320.0,-1.57,12.446,-19.5,-1.88,-23.73,0,0,DCHG, ,
4350.0,1,1,1,1,1,4350.0,-1.57,12.444,-19.5,-1.89,-23.89,0,0,DCHG, ,
4380.0,1,1,1,1,1,4380.0,-1.57,12.441,-19.5,-1.9,-24.05,0,0,DCHG, ,
4410.0,1,1,1,1,1,4410.0,-1.57,12.438,-19.5,-1.92,-24.21,0,0,DCHG, ,
4440.0,1,1,1,1,1,4440.0,-1.57,12.435,-19.4,-1.93,-24.38,0,0,DCHG, ,
4470.0,1,1,1,1,1,4470.0,-1.57,12.432,-19.4,-1.94,-24.54,0,0,DCHG, ,
4500.0,1,1,1,1,1,4500.0,-1.57,12.429,-19.5,-1.96,-24.7,0,0,DCHG, ,
4530.0,1,1,1,1,1,4530.0,-1.57,12.427,-19.4,-1.97,-24.86,0,0,DCHG, ,
4560.0,1,1,1,1,1,4560.0,-1.57,12.424,-19.4,-1.98,-25.02,0,0,DCHG, ,
4590.0,1,1,1,1,1,4590.0,-1.56,12.421,-19.4,-2,-25.18,0,0,DCHG, ,
4620.0,1,1,1,1,1,4620.0,-1.57,12.418,-19.4,-2.01,-25.35,0,0,DCHG, ,
