Test Name, UCT003-VD-C14-S01-2
Test Date, 2025/02/17 12:56:40 PM
Operator ID, Uyilo
, 
Program Name, VD LCV16 UCT003 C14
Program Description, 
Program Database, C:\VisuaLCN\Programs\Standard tests.mdb
, 
Module Type, fj
Module Description, LCV 16-100-12
Address, Port: 1, Sys Controller: 1  Circuit: 16
Name, Channel 16
Device ID, Unknown
, 
Notes,   5.21b, MDB 9.542025/02/17 12:56:35 PM - Started by Masa
Editable Notes, 

Total Time,Cycle,Loop Counter #1,Loop Counter #2,Loop Counter #3,Step,Step time,Current,Voltage,Power,Amp-Hours,Watt-Hours,Unassigned A1,Unassigned A2,Mode,Data Acquisition Flag,
30.0,1,1,1,1,1,30.0,-1.57,12.624,-19.7,-0.01,-0.16,0,0,DCHG, ,
60.0,1,1,1,1,1,60.0,-1.57,12.602,-19.7,-0.02,-0.32,0,0,DCHG, ,
90.0,1,1,1,1,1,90.0,-1.57,12.603,-19.7,-0.03,-0.49,0,0,DCHG, ,
120.0,1,1,1,1,1,120.0,-1.57,12.606,-19.7,-0.05,-0.65,0,0,DCHG, ,
150.0,1,1,1,1,1,150.0,-1.56,12.609,-19.6,-0.06,-0.82,0,0,DCHG, ,
180.0,1,1,1,1,1,180.0,-1.57,12.611,-19.7,-0.07,-0.98,0,0,DCHG, ,
210.0,1,1,1,1,1,210.0,-1.57,12.612,-19.7,-0.09,-1.14,0,0,DCHG, ,
240.0,1,1,1,1,1,240.0,-1.57,12.612,-19.7,-0.1,-1.31,0,0,DCHG, ,
270.0,1,1,1,1,1,270.0,-1.57,12.612,-19.7,-0.11,-1.47,0,0,DCHG, ,
300.0,1,1,1,1,1,300.0,-1.57,12.612,-19.7,-0.13,-1.64,0,0,DCHG, ,
330.0,1,1,1,1,1,330.0,-1.56,12.611,-19.7,-0.14,-1.8,0,0,DCHG, ,
360.0,1,1,1,1,1,360.0,-1.57,12.61,-19.7,-0.15,-1.97,0,0,DCHG, ,
390.0,1,1,1,1,1,390.0,-1.57,12.609,-19.7,-0.16,-2.13,0,0,DCHG, ,
420.0,1,1,1,1,1,420.0,-1.56,12.608,-19.6,-0.18,-2.29,0,0,DCHG, ,
450.0,1,1,1,1,1,450.0,-1.57,12.607,-19.7,-0.19,-2.46,0,0,DCHG, ,
