Freeing Point,Anhydrous Weight Fraction,Density (20 °C)
-0.210,0.50,1.0016
-0.423,1.00,1.0049
-0.662,1.50,1.0083
-0.796,2.00,1.0116
-1.004,2.50,1.0150
-1.172,3.00,1.0183
-1.354,3.50,1.0217
-1.599,4.00,1.0250
-1.855,4.50,1.0284
-2.047,5.00,1.0318
-2.259,5.50,1.0352
-2.495,6.00,1.0385
-2.730,6.50,1.0419
-2.952,7.00,1.0453
-3.197,7.50,1.0488
-3.493,8.00,1.0522
-3.801,8.50,1.0556
-4.083,9.00,1.0591
-4.360,9.50,1.0626
-4.644,10.00,1.0661
-5.25,11.00,1.0731
-5.93,12.00,1.0802
-6.67,13.00,1.0874
-7.49,14.00,1.0947
-8.35,15.00,1.1020
-9.26,16.00,1.1094
-10.23,17.00,1.1169
-11.29,18.00,1.1245
-12.43,19.00,1.1321
-13.64,20.00,1.1398
-16.48,22.00,1.1554
-19.85,24.00,1.1714
-24.29,26.00,1.1872
-29.65,28.00,1.2031
-36.21,30.00,1.2191
-44.76,32.00,1.2353
-55.28,34.00,1.2518
